"","Username","Ulasan","Kategori","","","","","","","","","","","","","","","","","","","","","",""
"0","Arief Said","Objek wisata dengan pemandangan alam air terjun yang masih asri dan alami. Cukup indah dan menyejukkan pandangan, meski lokasinya tidak terlalu luas. Jalan untuk menuju ke air terjun berbatu & cukup licin saat basah. Tiket masuk …","positif","","","","","","","","","","","","","","","","","","","","","",""
"1","Fu Jr","Lokasi didaerah pandaan diketinggian yg lumayan sehingga suasananya sejuk dan menyegarkan. Cocok buat healing menghilangkan penat.
Tiket masuk Rp 15K plus jasa parkir 7K.Area air terjun perlu dibuatkan dam …","positif","","","","","","","","","","","","","","","","","","","","","",""
"2","Vivi Prastari","Worth it ! 03.03.2022
Saya akan meriview beberapa yep 😉
Disini kalian akan disuguhkan pemandangan air terjun yg asri dan pemandangan …","positif","","","","","","","","","","","","","","","","","","","","","",""
"3","Dyta Lisdy","Dewasa 10.000/org, anak 7.500/anak.
Parkir mobil 3.000 …","netral","","","","","","","","","","","","","","","","","","","","","",""
"4","Martha A. Wilujeng","Tiket masuk 2 Dewasa 1 anak 5th 38.000
Parkir motor 2.000 atau 4.000 agak lupa
Toilet bayar 2.000 …","netral","","","","","","","","","","","","","","","","","","","","","",""
"5","sleeping beauty, DF","Dr parkir mobil / motor jalan nya g terlalu jauh hanya 200 meter,. view nya bagus dan air terjun nya jernih bgt, tempat nya juga bersih, ada taman kelinci juga dan kolam renang (bayar lagi per karcis 5.000) pemandangan nya indah dan dingin …","positif","","","","","","","","","","","","","","","","","","","","","",""
"6","Elsa Diana - Jawa Timur","Wisata air terjun yg sudah terkenal namanya, akses jalan menuju kesana mudah untuk ditemukan dan bisa dilewati mobil dan motor. Hanya saja jalan cukup sempit jika dilalui 2 mobil, jadi harus bergantian jika berpapasan dgn mobil lain. Jalan …","positif","","","","","","","","","","","","","","","","","","","","","",""
"7","Roni Simanjuntak","Waterfall view yang bagus dan menarik. Dapat dicapai tidak terlalu jauh dari parkir mobil sehingga keluarga dapat menikmati sejuk dan freshnya air terjun ini.. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"8","Anita _R","Bagus masih asri, sejuk, bisa camping, piknik (jangan lupa bawa tikar), main air, family or friends time. Ada beberapa spot yang bayar, contohnya masuk wilayah taman kelinci, 1 orang bayar 5rb. Utk area air terjun free cuma bayar tiket masuk. Tapi bagi yang mengendarai mobil your driver pastikan ahli untuk jalan yang agak ekstrim.","positif","","","","","","","","","","","","","","","","","","","","","",""
"9","Halwa annisa Aan & rudi","Harga 13ribu perorang di tanggal 1 Januari kemaren..
Gak kecewa, sesuai dengan ekspektasi..
Ada cafe & kolam renang mini buat anak² hanya 5ribu aja.. ","positif","","","","","","","","","","","","","","","","","","","","","",""
